card_namber,polnoe_naimenovanie,socrshenoe_naimenovanie,naimenovanie_ur_litca_ip,region,inn,ogrn_ogrnip,adres,telephon,email,dlina_gornolygnoi_trassy,tehnicheskie_haracteristiki,categoriya_trassy,spectialist_po_classificatci,nomer_resheniya_o_prisvoenii_categorii,data_resheniya_o_prisvoenii_categorii,registratcionnyi_nomer_svidetelstva,data_vydachi_svidetelstva,srok_deistviya,acreditovanaya_organizatciya
440000628,Горнолыжная трасса «Вельвет» Всесезонного курорта «Манжерок» ООО «ВК «Манжерок»,Горнолыжная трасса «Вельвет» Всесезонного курорта «Манжерок»,Общество с ограниченной ответственностью  «Всесезонный курорт «Манжерок»,Республика Алтай,0400014449,1200400001251,"Республика Алтай, Майминский район, с. Озерное, район оз. Манжерокское, с юго-восточной стороны",8 913 992-88-88,booking@mglk.ru,"1745,47","перепад высот 287,77 м, угол наклона до 25%, ширина 20-40 м, размер выката более 50 м",синяя,С.Ю. Анисимов,84,06.10.2022,Т/АА-153-2021/84-2022,07.10.2022,07.10.2025,"Общество с ограниченной ответственностью ""Центр сертификации и экспертизы ""Омск-Тест"""
440000627,Горнолыжная трасса «Марал» Всесезонного курорта «Манжерок» ООО «ВК «Манжерок»,Горнолыжная трасса «Марал» Всесезонного курорта «Манжерок»,Общество с ограниченной ответственностью  «Всесезонный курорт «Манжерок»,Республика Алтай,0400014449,1200400001251,"Республика Алтай, Майминский район, с. Озерное, район оз. Манжерокское, с юго-восточной стороны",8 913 992-88-88,booking@mglk.ru,"223,24 м","перепад высот 69,79 м, угол наклона 30-42%, ширина трассы 40-45 м, размер выката более 60 м",черная,С.Ю. Анисимов,83,06.10.2022,Т/АА-153-2021/83-2022,07.10.2022,07.10.2025,"Общество с ограниченной ответственностью ""Центр сертификации и экспертизы ""Омск-Тест"""
440000626,Горнолыжная трасса «Снежная» Всесезонного курорта «Манжерок» ООО «ВК «Манжерок»,Горнолыжная трасса «Снежная» Всесезонного курорта «Манжерок»,Общество с ограниченной ответственностью  «Всесезонный курорт «Манжерок»,Республика Алтай,0400014449,1200400001251,"Республика Алтай, Майминский район, с. Озерное, район оз. Манжерокское, с юго-восточной стороны",8 913 992-88-88,booking@mglk.ru,201 м,"перепад высот 59 м, угол наклона 29%, ширина трассы 30-40 м, размер выката более 40 м",красная,С.Ю. Анисимов,82,06.10.2022,Т/АА-153-2021/82-2022,07.10.2022,07.10.2025,"Общество с ограниченной ответственностью ""Центр сертификации и экспертизы ""Омск-Тест"""
440000625,Горнолыжная трасса «Алтай» Всесезонного курорта «Манжерок» ООО «ВК «Манжерок»,Горнолыжная трасса «Алтай» Всесезонного курорта «Манжерок»,Общество с ограниченной ответственностью  «Всесезонный курорт «Манжерок»,Республика Алтай,0400014449,1200400001251,"Республика Алтай, Майминский район, с. Озерное, район оз. Манжерокское, с юго-восточной стороны",8 913 992-88-88,booking@mglk.ru,"392,79 м","перепад высот 119,6 м, угол наклона 30%, ширина трассы 40-50 м, размер выката более 60 м",красная,С.Ю. Анисимов,81,06.10.2022,Т/АА-153-2021/81-2022,07.10.2022,07.10.2025,"Общество с ограниченной ответственностью ""Центр сертификации и экспертизы ""Омск-Тест"""
440000624,Горнолыжная трасса «Беркут» Всесезонного курорта «Манжерок» ООО «ВК «Манжерок»,Горнолыжная трасса «Беркут» Всесезонного курорта «Манжерок»,Общество с ограниченной ответственностью  «Всесезонный курорт «Манжерок»,Республика Алтай,0400014449,1200400001251,"Республика Алтай, Майминский район, с. Озерное, район оз. Манжерокское, с юго-восточной стороны",8 913 992-88-88,booking@mglk.ru,"555,44 м","перепад высот 164,32 м, угол наклона 30%, ширина трассы 30-45 м, размер выката более 50 м",красная,С.Ю. Анисимов,80,06.10.2022,Т/АА-153-2021/80-2022,07.10.2022,07.10.2025,"Общество с ограниченной ответственностью ""Центр сертификации и экспертизы ""Омск-Тест"""
440000623,Горнолыжная трасса «Ирбис» Всесезонного курорта «Манжерок» ООО «ВК «Манжерок»,Горнолыжная трасса «Ирбис» Всесезонного курорта «Манжерок»,Общество с ограниченной ответственностью  «Всесезонный курорт «Манжерок»,Республика Алтай,0400014449,1200400001251,"Республика Алтай, Майминский район, с. Озерное, район оз. Манжерокское, с юго-восточной стороны",8 913 992-88-88,booking@mglk.ru,327 м,"перепад высот 80 м, угол наклона до 25%, ширина трассы 40-60 м, размер выката 70 м",синяя,С.Ю. Анисимов,79,06.10.2022,Т/АА-153-2021/79-2022,07.10.2022,07.10.2025,"Общество с ограниченной ответственностью ""Центр сертификации и экспертизы ""Омск-Тест"""
440000622,Горнолыжная трасса «Спортивная» Всесезонного курорта «Манжерок» ООО «ВК «Манжерок»,Горнолыжная трасса «Спортивная» Всесезонного курорта «Манжерок»,Общество с ограниченной ответственностью  «Всесезонный курорт «Манжерок»,Республика Алтай,0400014449,1200400001251,"Республика Алтай, Майминский район, с. Озерное, район оз. Манжерокское, с юго-восточной стороны",8 913 992-88-88,booking@mglk.ru,"1242,38 м","перепад высот 402,64 м, угол наклона до 40%, ширина трассы 40-50 м, размер выката более 50 м",красная,С.Ю. Анисимов,78,06.10.2022,Т/АА-153-2021/78-2022,07.10.2022,07.10.2025,"Общество с ограниченной ответственностью ""Центр сертификации и экспертизы ""Омск-Тест"""
440000621,Горнолыжная трасса «Бабочка» Всесезонного курорта «Манжерок» ООО «ВК «Манжерок»,Горнолыжная трасса «Бабочка» Всесезонного курорта «Манжерок»,Общество с ограниченной ответственностью  «Всесезонный курорт «Манжерок»,Республика Алтай,0400014449,1200400001251,"Республика Алтай, Майминский район, с. Озерное, район оз. Манжерокское, с юго-восточной стороны",8 913 992-88-88,booking@mglk.ru,"471,17 м","перепад высот 160,88 м, угол наклона до 40%, ширина 40 м, размер выката более 50 м",красная,С.Ю. Анисимов,77,06.10.2022,Т/АА-153-2021/77-2022,07.10.2022,07.10.2025,"Общество с ограниченной ответственностью ""Центр сертификации и экспертизы ""Омск-Тест"""
440000620,Горнолыжная трасса «Сказка»  Всесезонного курорта «Манжерок» ООО  «ВК «Манжерок»,Горнолыжная трасса «Сказка»  Всесезонного курорта «Манжерок»,Общество с ограниченной ответственностью  «Всесезонный курорт «Манжерок»,Республика Алтай,0400014449,1200400001251,"Республика Алтай, Майминский район, с. Озерное, район оз. Манжерокское, с юго-восточной стороны",8 913 992-88-88,booking@mglk.ru,690 м,"перепад высот 118 м, угол наклона 14%, ширина трассы 20 м, размер выката 30 м",зеленая,С.Ю. Анисимов,76,06.10.2022,Т/АА-153-2021/76-2022,07.10.2022,07.10.2025,"Общество с ограниченной ответственностью ""Центр сертификации и экспертизы ""Омск-Тест"""
440000619,"Горнолыжная трасса ""АНДРЕЙ""","ГЛТ ""АНДРЕЙ""","Общество с ограниченной ответственностью ""ГОРЫ УРАЛА (ГЛК  ГОРЫ УРАЛА)""",Свердловская область,6671098732,1196658060565,"620076 Свердловская область, г. Кировград, ул.Горнолыжная д.1",+79126562557,ad@ural.ski,700 м,"Уклон трассы -   30 - 50 %;  Диапазон ширины трассы  37-45 м; Размер выката – более 80 м, Перепад высот - 230м",черная,Косенков Юрий Анатольевич.,4,08.09.2022,Т/АА-022-2022/04/2022,08.09.2022,08.09.2025,"Ассоциация горнолыжных комплексов, территорий и сервиса"
440000618,Горнолыжная трасса «УЧЕБНАЯ»,"ГЛТ ""УЧЕБНАЯ""","Общество с ограниченной ответственностью ""Уктусский спортивный комплекс (ГЛК  УКТУС)""",Свердловская область,6679101377,1169658122952,"620076 Свердловская область, г. Екатеринбург, улица Зимняя 27",+79126562557,ad@ural.ski,390 м,"Уклон трассы -   до 13 %;  Диапазон ширины трассы  30-40 м; Размер выката – более 30 м, Перепад высот - 50м",зеленая,Косенков Юрий Анатольевич.,2,08.09.2022,Т/АА-022-2022/02/2022,08.09.2022,08.09.2025,"Ассоциация горнолыжных комплексов, территорий и сервиса"
440000617,"Горнолыжная трасса ""ГАНС""","ГЛТ ""ГАНС""","ООО ""Горы УРАЛА""",Свердловская область,6671098732,1196658060565,"620076 Свердловская область, г. Кировград, ул. Горнолыжная д.1",+79126562557,ad@ural.ski,900 м,"Уклон трассы -   до 40 %;  Диапазон ширины трассы  35-50 м; Размер выката – более 40 м, Перепад высот - 217м",красная,Косенков Юрий Анатольевич.,6,08.09.2022,Т/АА-022-2022/06/2022,08.09.2022,08.09.2025,"Ассоциация горнолыжных комплексов, территорий и сервиса"
440000616,"Горнолыжная трасса ""НЬЮ ГАНС""","ГЛТ ""НЬЮ ГАНС""","ООО ""Горы УРАЛА""",Свердловская область,6671098732,1196658060565,"620076 Свердловская область, г. Кировград, ул.Горнолыжная д.1",+79126562557,ad@ural.ski,1100 м,"Уклон трассы -   24 %;  Диапазон ширины трассы  10-40 м; Размер выката – более 30 м, Перепад высот - 205м",синяя,Косенков Юрий Анатольевич,7,08.09.2022,Т/АА-022-2022/07/2022,08.09.2022,08.09.2025,"Ассоциация горнолыжных комплексов, территорий и сервиса"
440000615,Горнолыжная трасса «ВЛ»,"ГЛТ ""ВЛ""","Общество с ограниченной ответственностью ""ГОРЫ УРАЛА (ГЛК  ГОРЫ УРАЛА)""",Свердловская область,6671098732,1196658060565,"620076 Свердловская область, г. Кировград, ул.Горнолыжная д.1",+79126562557,ad@ural.ski,890 м,"Уклон трассы -   24-37 %;  Диапазон ширины трассы 30-50 м; Размер выката – более 30 м, Перепад высот - 250м",красная,Косенков Юрий Анатольевич.,5,08.09.2022,Т/АА-022-2022/05/2022,08.09.2022,08.09.2025,"Ассоциация горнолыжных комплексов, территорий и сервиса"
440000612,Горнолыжная трасса «НОВАЯ»,"ГЛТ ""НОВАЯ""","Общество с ограниченной ответственностью ""Уктусский спортивный комплекс (ГЛК  УКТУС)""",Свердловская область,6679101377,1169658122952,"620076 Свердловская область, г. Екатеринбург, улица Зимняя 27\\4",+79126562557,ad@ural.ski,630 м,"Уклон трассы -   до 15 %;  Диапазон ширины трассы  15-35 м; Размер выката – более 30 м, Перепад высот - 99м",синяя,Косенков Юрий Анатольевич.,3,08.09.2022,Т/АА-022-2022/03/2022,08.09.2022,08.09.2025,"Ассоциация горнолыжных комплексов, территорий и сервиса"
440000611,Горнолыжная трасса «ЛЫСАЯ»,"ГЛТ ""ЛЫСАЯ""","Общество с ограниченной ответственностью ""Уктусский спортивный комплекс (ГЛК  УКТУС)""",Свердловская область,6679101377,1169658122952,"620076 Свердловская область, г. Екатеринбург, улица Зимняя 27\\4",+79126562557,ad@ural.ski,370 м,"Уклон трассы -   до 38 %;  Диапазон ширины трассы  18 – 30 м; Размер выката – более 30 м, Перепад высот - 60м",красная,Косенков Юрий Анатольевич,1,08.09.2022,Т/АА-022-2022/01/2022,08.09.2022,08.09.2025,"Ассоциация горнолыжных комплексов, территорий и сервиса"
440000602,"ООО ""ЛИПЕЦКИЙ СПОРТИВНЫЙ КОМПЛЕКС"" Хиллпарк Трасса №6","ООО ""ЛСК"" Хиллпарк","ООО ""ЛИПЕЦКИЙ СПОРТИВНЫЙ КОМПЛЕКС""",Липецкая область,4813027239,1164827051840,"398508 Липецкая область, Липецкий р-он,с. Б. Кузьминка, ул. Изумрудная,12, офис 5",+74742370048,info@hillparktut.ru,200 м,"Перепад высот трассы: Рельеф лёгкий, переменный, без резких перепадов, плавные перегибы и спады; Угол наклона трассы: 5%-18%; Ширина трассы: 10-20м; Размер выката: более 30м",синяя,Анисимов Сергей Юрьевич,34,05.08.2022,34,09.08.2022,09.08.2025,"Общество с ограниченной ответственностью ""Альп-Проект"""
440000601,"ООО ""ЛИПЕЦКИЙ СПОРТИВНЫЙ КОМПЛЕКС"" Хиллпарк Трасса №5","ООО ""ЛСК"" Хиллпарк","ООО ""ЛИПЕЦКИЙ СПОРТИВНЫЙ КОМПЛЕКС""",Липецкая область,4813027239,1164827051840,"398508 Липецкая область, Липецкий р-он,с. Б. Кузьминка, ул. Изумрудная,12, офис 5",+74742370048,info@hillparktut.ru,400 м,"Перепад высот трассы: Рельеф лёгкий, переменный, без резких перепадов, плавные перегибы и спады; Угол наклона трассы: 8%-30%;, Участок с уклоном более 25% составляет менее 20% от общей длины трассы; Ширина трассы:15-20м; Размер выката: более 30м",синяя,Анисимов Сергей Юрьевич,33,05.08.2022,33,09.08.2022,09.08.2025,"Общество с ограниченной ответственностью ""Альп-Проект"""
440000600,"ООО ""ЛИПЕЦКИЙ СПОРТИВНЫЙ КОМПЛЕКС"" Хиллпарк Трасса №4","ООО ""ЛСК"" Хиллпарк","ООО ""ЛИПЕЦКИЙ СПОРТИВНЫЙ КОМПЛЕКС""",Липецкая область,4813027239,1164827051840,"398508 Липецкая область, Липецкий р-он,с. Б. Кузьминка, ул. Изумрудная,12, офис 5",+74742370048,info@hillparktut.ru,400 м,"Перепад высот трассы: Рельеф разнообразный, с лёгкими, средними и не очень резкими по уровню наклона участками, сочетание плавных и резких перегибов и спадов; Угол наклона трассы:8%-32%. Участок с уклоном более 25% составляет более 20% общей длины трассы; Ширина трассы:15-30м; Размер выката: более 30м",красная,Анисимов Сергей Юрьевич,32,05.08.2022,32,09.08.2022,09.08.2025,"Общество с ограниченной ответственностью ""Альп-Проект"""
440000599,"ООО ""ЛИПЕЦКИЙ СПОРТИВНЫЙ КОМПЛЕКС"" Хиллпарк Трасса №2","ООО ""ЛСК"" Хиллпарк","ООО ""ЛИПЕЦКИЙ СПОРТИВНЫЙ КОМПЛЕКС""",Липецкая область,4813027239,1164827051840,"398508 Липецкая область, Липецкий р-он,с. Б. Кузьминка, ул. Изумрудная,12, офис 5",+74742370048,info@hillparktut.ru,200 м,"Перепад высот трассы: Рельеф лёгкий, переменный без резких перепадов,плавные перегибы и спады; Угол наклона трассы: 8%-18%; Ширина трассы:12-25м; Размер выката: более 30м.",синяя,Анисимов Сергей Юрьевич,31,05.08.2022,31,09.08.2022,09.08.2025,"Общество с ограниченной ответственностью ""Альп-Проект"""
440000598,"ООО ""ЛИПЕЦКИЙ СПОРТИВНЫЙ КОМПЛЕКС"" Хиллпарк Трасса №1","ООО ""ЛСК"" Хиллпарк","ООО ""ЛИПЕЦКИЙ СПОРТИВНЫЙ КОМПЛЕКС""",Липецкая область,4813027239,1164827051840,"398508 Липецкая область, Липецкий р-он,с. Б. Кузьминка, ул. Изумрудная,12, офис 5",8 (4742) 37-00-48,info@hillparktut.ru,200 м,"Перепад высот трассы: Рельеф лёгкий, переменный, без резких перепадов, плавные перегибы и спады; Угол наклона трассы: 15%-22%; Ширина трассы: 25-30м; Размер выката: более 30 м",синяя,Анисимов Сергей Юрьевич,30,05.08.2022,30,09.08.2022,09.08.2025,"Общество с ограниченной ответственностью ""Альп-Проект"""
440000596,"Горнолыжный комплекс ""Большой Вудъявр"" Северный и Южный склон горы Айкуайвенчорр  Трасса ""Учебная Север"" ООО ""Тирвас""","""ГК ""Большой Вудъявр"" ООО ""Тирвас""","Общество с ограниченной ответственностью ""Тирвас""",Мурманская область,5103300037,1125118000336,"184256, Российская Федерация, Мурманская область, город Кировск, улица Ленинградская, д.2",+78153132686,tirvas@phosagro.ru,100 м,Перепад высот трассы: рельеф лёгкий без резких перепадов; Угол наклона трассы: до 15%; Ширина трассы: от 15 м; Размер выката: более 10 м.,зеленая,Анисимов Сергей Юрьевич,28,29.07.2022,28,04.08.2022,04.08.2025,"Общество с ограниченной ответственностью ""Альп-Проект"""
440000595,"Горнолыжный комплекс ""Большой Вудъявр"" Северный и Южный склон горы Айкуайвенчорр  Трасса №33 ООО ""Тирвас""","""ГК ""Большой Вудъявр"" ООО ""Тирвас""","Общество с ограниченной ответственностью ""Тирвас""",Мурманская область,5103300037,1125118000336,"184256, Российская Федерация, Мурманская область, город Кировск, улица Ленинградская, д.2",+78153132686,tirvas@phosagro.ru,1800 м,Перепад высот трассы: рельеф переменный со средними и большими по уровню уклона участками с резкими поворотами и контруклонами; Угол наклона трассы: от 23% до 55%; Ширина трассы: от 20 до 40 м; Размер выката: более 80 м.,черная,Анисимов Сергей Юрьевич,23,29.07.2022,23,04.08.2022,04.08.2025,"Общество с ограниченной ответственностью ""Альп-Проект"""
440000593,"Горнолыжный комплекс ""Большой Вудъявр"" Северный и Южный склон горы Айкуайвенчорр  Трасса №23 ООО ""Тирвас""","""ГК ""Большой Вудъявр"" ООО ""Тирвас""","Общество с ограниченной ответственностью ""Тирвас""",Мурманская область,5103300037,1125118000336,"184256, Российская Федерация, Мурманская область, город Кировск, улица Ленинградская, д.2",+78153132686,tirvas@phosagro.ru,2500 м,"Перепад высот трассы: рельеф переменный без резких перепадов, плавные перегибы и спады, на криволинейных участках без больших боковых контруклонов; Угол наклона трассы: сумма длин участков трассы с уклоном более 40% составляет менее 20% от общей длины; Ширина трассы: более 30м; Размер выката: более 30м.",красная,Анисимов Сергей Юрьевич,27,29.07.2022,27,04.08.2022,04.08.2025,"Общество с ограниченной ответственностью ""Альп-Проект"""
440000594,"Горнолыжный комплекс ""Большой Вудъявр"" Северный и Южный склон горы Айкуайвенчорр  Трасса №24 ООО ""Тирвас""","""ГК ""Большой Вудъявр"" ООО ""Тирвас""","Общество с ограниченной ответственностью ""Тирвас""",Мурманская область,5103300037,1125118000336,"184256, Российская Федерация, Мурманская область, город Кировск, улица Ленинградская, д.2",+78153132686,tirvas@phosagro.ru,450 м,Перепад высот трассы: рельеф ровный без резких перепадов и больших боковых контруклонов; Угол наклона трассы: участки с уклоном более 40% составляют менее 20% от общей длины трассы; Ширина трассы: от 40 до 50 м; Размер выката: более 30м.,красная,Анисимов Сергей Юрьевич,19,29.07.2022,19,04.08.2022,04.08.2025,"Общество с ограниченной ответственностью ""Альп-Проект"""
440000592,"Горнолыжный комплекс ""Большой Вудъявр"" Северный и Южный склон горы Айкуайвенчорр  Трасса №22 ООО ""Тирвас""","""ГК ""Большой Вудъявр"" ООО ""Тирвас""","Общество с ограниченной ответственностью ""Тирвас""",Мурманская область,5103300037,1125118000336,"184256, Российская Федерация, Мурманская область, город Кировск, улица Ленинградская, д.2",+78153132686,tirvas@phosagro.ru,1200 м,"Перепад высот трассы: рельеф переменный без резких перепадов, плавные перегибы и спады, на криволинейных участках без больших боковых контруклонов; Угол наклона трассы: сумма длин участков трассы с уклоном более 40% составляет менее 20% от общей длины; Ширина трассы:более 30м; Размер выката:более 30м.",красная,Анисимов Сергей Юрьевич,26,29.07.2022,26,04.08.2022,04.08.2025,"Общество с ограниченной ответственностью ""Альп-Проект"""
440000591,"Горнолыжный комплекс ""Большой Вудъявр"" Северный и Южный склон горы Айкуайвенчорр  Трасса №21 ООО ""Тирвас""","""ГК ""Большой Вудъявр"" ООО ""Тирвас""","Общество с ограниченной ответственностью ""Тирвас""",Мурманская область,5103300037,1125118000336,"184256, Российская Федерация, Мурманская область, город Кировск, улица Ленинградская, д.2",+78153132686,tirvas@phosagro.ru,750 м,"Перепад высот трассы:рельеф переменный без резких перепадов, плавные перегибы и спады, на криволинейных участках без больших боковых контруклонов; Угол наклона трассы: менее 40%; Ширина трассы: более 30м;  Размер выката: более 30м.",красная,Анисимов Сергей Юрьевич,25,29.07.2022,25,04.08.2022,04.08.2025,"Общество с ограниченной ответственностью ""Альп-Проект"""
440000590,"Горнолыжный комплекс ""Большой Вудъявр"" Северный и Южный склон горы Айкуайвенчорр  Трасса №20 ООО ""Тирвас""","""ГК ""Большой Вудъявр"" ООО ""Тирвас""","Общество с ограниченной ответственностью ""Тирвас""",Мурманская область,5103300037,1125118000336,"184256, Российская Федерация, Мурманская область, город Кировск, улица Ленинградская, д.2",+78153132686,tirvas@phosagro.ru,650 м,"Перепад высот трассы: рельеф переменный без резких перепадов, плавные перегибы и спады, на криволинейных участках без больших боковых контруклонов; Угол наклона трассы:17-33%; Ширина трассы: от 20 до 50 м; Размер выката: более 30м.",красная,Анисимов Сергей Юрьевич,24,29.07.2022,24,04.08.2022,04.08.2025,"Общество с ограниченной ответственностью ""Альп-Проект"""
